"Step","env: HALFCHEETAH - lambdas/component_1","env: HALFCHEETAH - lambdas/component_1__MIN","env: HALFCHEETAH - lambdas/component_1__MAX"
"5100","0.5","0.5","0.5"
"5200","0.5","0.5","0.5"
"5300","0.5","0.5","0.5"
"5400","0.5","0.5","0.5"
"5500","0.5","0.5","0.5"
"5600","0.5","0.5","0.5"
"5700","0.5","0.5","0.5"
"5800","0.5","0.5","0.5"
"5900","0.5","0.5","0.5"
"6000","0.5","0.5","0.5"
"6100","0.5","0.5","0.5"
"6200","0.5","0.5","0.5"
"6300","0.5","0.5","0.5"
"6400","0.5","0.5","0.5"
"6500","0.5","0.5","0.5"
"6600","0.5","0.5","0.5"
"6700","0.5","0.5","0.5"
"6800","0.5","0.5","0.5"
"6900","0.5","0.5","0.5"
"7000","0.5","0.5","0.5"
"7100","0.5","0.5","0.5"
"7200","0.5","0.5","0.5"
"7300","0.5","0.5","0.5"
"7400","0.5","0.5","0.5"
"7500","0.5","0.5","0.5"
"7600","0.5","0.5","0.5"
"7700","0.5","0.5","0.5"
"7800","0.5","0.5","0.5"
"7900","0.5","0.5","0.5"
"8000","0.5","0.5","0.5"
"8100","0.5","0.5","0.5"
"8200","0.5","0.5","0.5"
"8300","0.5","0.5","0.5"
"8400","0.5","0.5","0.5"
"8500","0.5","0.5","0.5"
"8600","0.5","0.5","0.5"
"8700","0.5","0.5","0.5"
"8800","0.5","0.5","0.5"
"8900","0.5","0.5","0.5"
"9000","0.5","0.5","0.5"
"9100","0.5","0.5","0.5"
"9200","0.5","0.5","0.5"
"9300","0.5","0.5","0.5"
"9400","0.5","0.5","0.5"
"9500","0.5","0.5","0.5"
"9600","0.5","0.5","0.5"
"9700","0.5","0.5","0.5"
"9800","0.5","0.5","0.5"
"9900","0.5","0.5","0.5"
"10000","0.5","0.5","0.5"
"10100","0.5","0.5","0.5"
"10200","0.5","0.5","0.5"
"10300","0.5","0.5","0.5"
"10400","0.5","0.5","0.5"
"10500","0.5","0.5","0.5"
"10600","0.5","0.5","0.5"
"10700","0.5","0.5","0.5"
"10800","0.5","0.5","0.5"
"10900","0.5","0.5","0.5"
"11000","0.5","0.5","0.5"
"11100","0.5","0.5","0.5"
"11200","0.5","0.5","0.5"
"11300","0.5","0.5","0.5"
"11400","0.5","0.5","0.5"
"11500","0.5","0.5","0.5"
"11600","0.5","0.5","0.5"
"11700","0.5","0.5","0.5"
"11800","0.5","0.5","0.5"
"11900","0.5","0.5","0.5"
"12000","0.5","0.5","0.5"
"12100","0.5","0.5","0.5"
"12200","0.5","0.5","0.5"
"12300","0.5","0.5","0.5"
"12400","0.5","0.5","0.5"
"12500","0.5","0.5","0.5"
"12600","0.5","0.5","0.5"
"12700","0.5","0.5","0.5"
"12800","0.5","0.5","0.5"
"12900","0.5","0.5","0.5"
"13000","0.5","0.5","0.5"
"13100","0.5","0.5","0.5"
"13200","0.5","0.5","0.5"
"13300","0.5","0.5","0.5"
"13400","0.5","0.5","0.5"
"13500","0.5","0.5","0.5"
"13600","0.5","0.5","0.5"
"13700","0.5","0.5","0.5"
"13800","0.5","0.5","0.5"
"13900","0.5","0.5","0.5"
"14000","0.5","0.5","0.5"
"14100","0.5","0.5","0.5"
"14200","0.5","0.5","0.5"
"14300","0.5","0.5","0.5"
"14400","0.5","0.5","0.5"
"14500","0.5","0.5","0.5"
"14600","0.5","0.5","0.5"
"14700","0.5","0.5","0.5"
"14800","0.5","0.5","0.5"
"14900","0.5","0.5","0.5"
"15000","0.5","0.5","0.5"
"15100","0.5","0.5","0.5"
"15200","0.5","0.5","0.5"
"15300","0.5","0.5","0.5"
"15400","0.5","0.5","0.5"
"15500","0.5","0.5","0.5"
"15600","0.5","0.5","0.5"
"15700","0.5","0.5","0.5"
"15800","0.5","0.5","0.5"
"15900","0.5","0.5","0.5"
"16000","0.5","0.5","0.5"
"16100","0.5","0.5","0.5"
"16200","0.5","0.5","0.5"
"16300","0.5","0.5","0.5"
"16400","0.5","0.5","0.5"
